
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


POST /measurement/schuepbach 201 - - 12.943 ms
POST /measurement/schuepbach 201 - - 13.939 ms
POST /measurement/schuepbach 201 - - 13.690 ms
POST /measurement/schuepbach 201 - - 14.257 ms
POST /measurement/schuepbach 201 - - 15.286 ms
POST /measurement/schuepbach 201 - - 16.793 ms
POST /measurement/schuepbach 201 - - 14.607 ms
POST /measurement/schuepbach 201 - - 15.095 ms
POST /measurement/schuepbach 201 - - 41.557 ms
POST /measurement/schuepbach 201 - - 23.058 ms
POST /measurement/schuepbach 201 - - 22.805 ms
POST /measurement/schuepbach 201 - - 19.221 ms
POST /measurement/schuepbach 201 - - 13.601 ms
POST /measurement/schuepbach 201 - - 15.636 ms
POST /measurement/schuepbach 201 - - 13.868 ms
POST /measurement/schuepbach 201 - - 15.907 ms
POST /measurement/schuepbach 201 - - 15.742 ms
POST /measurement/schuepbach 201 - - 14.636 ms
POST /measurement/schuepbach 201 - - 14.799 ms
POST /measurement/schuepbach 201 - - 14.184 ms
POST /measurement/schuepbach 201 - - 14.582 ms
POST /measurement/schuepbach 201 - - 13.006 ms
POST /measurement/schuepbach 201 - - 177.789 ms
POST /measurement/schuepbach 201 - - 13.525 ms
POST /measurement/schuepbach 201 - - 15.094 ms
POST /measurement/schuepbach 201 - - 14.329 ms
POST /measurement/schuepbach 201 - - 13.395 ms
POST /measurement/schuepbach 201 - - 13.494 ms
POST /measurement/schuepbach 201 - - 13.825 ms
POST /measurement/schuepbach 201 - - 13.859 ms
POST /measurement/schuepbach 201 - - 16.676 ms
POST /measurement/schuepbach 201 - - 13.724 ms
POST /measurement/schuepbach 201 - - 13.772 ms
POST /measurement/schuepbach 201 - - 13.641 ms
POST /measurement/schuepbach 201 - - 13.195 ms
POST /measurement/schuepbach 201 - - 14.014 ms
POST /measurement/schuepbach 201 - - 13.934 ms
POST /measurement/schuepbach 201 - - 16.272 ms
POST /measurement/schuepbach 201 - - 19.145 ms
POST /measurement/schuepbach 201 - - 13.654 ms
POST /measurement/schuepbach 201 - - 15.370 ms
POST /measurement/schuepbach 201 - - 19.769 ms
POST /measurement/schuepbach 201 - - 14.336 ms
POST /measurement/schuepbach 201 - - 15.943 ms
POST /measurement/schuepbach 201 - - 13.742 ms
POST /measurement/schuepbach 201 - - 15.058 ms
POST /measurement/schuepbach 201 - - 14.672 ms
POST /measurement/schuepbach 201 - - 14.901 ms
POST /measurement/schuepbach 201 - - 13.983 ms
POST /measurement/schuepbach 201 - - 14.979 ms
POST /measurement/schuepbach 201 - - 15.187 ms
POST /measurement/schuepbach 201 - - 15.819 ms
POST /measurement/schuepbach 201 - - 33.092 ms
POST /measurement/schuepbach 201 - - 14.437 ms
POST /measurement/schuepbach 201 - - 13.828 ms
POST /measurement/schuepbach 201 - - 14.108 ms
POST /measurement/schuepbach 201 - - 14.048 ms
POST /measurement/schuepbach 201 - - 18.270 ms
POST /measurement/schuepbach 201 - - 17.895 ms
POST /measurement/schuepbach 201 - - 22.679 ms
POST /measurement/schuepbach 201 - - 13.814 ms
POST /measurement/schuepbach 201 - - 15.359 ms
POST /measurement/schuepbach 201 - - 14.005 ms
POST /measurement/schuepbach 201 - - 17.707 ms
POST /measurement/schuepbach 201 - - 14.037 ms
POST /measurement/schuepbach 201 - - 15.426 ms
POST /measurement/schuepbach 201 - - 14.227 ms
POST /measurement/schuepbach 201 - - 16.002 ms
POST /measurement/schuepbach 201 - - 14.361 ms
POST /measurement/schuepbach 201 - - 16.918 ms
POST /measurement/schuepbach 201 - - 14.436 ms
POST /measurement/schuepbach 201 - - 15.443 ms
POST /measurement/schuepbach 201 - - 14.673 ms
POST /measurement/schuepbach 201 - - 14.669 ms
POST /measurement/schuepbach 201 - - 14.140 ms
POST /measurement/schuepbach 201 - - 13.649 ms
POST /measurement/schuepbach 201 - - 13.793 ms
POST /measurement/schuepbach 201 - - 14.524 ms
POST /measurement/schuepbach 201 - - 13.319 ms
POST /measurement/schuepbach 201 - - 15.948 ms
POST /measurement/schuepbach 201 - - 15.085 ms
POST /measurement/schuepbach 201 - - 12.590 ms
POST /measurement/schuepbach 201 - - 14.338 ms
POST /measurement/schuepbach 201 - - 13.879 ms
POST /measurement/schuepbach 201 - - 15.120 ms
POST /measurement/schuepbach 201 - - 12.905 ms
POST /measurement/schuepbach 201 - - 13.981 ms
POST /measurement/schuepbach 201 - - 13.538 ms
POST /measurement/schuepbach 201 - - 14.283 ms
POST /measurement/schuepbach 201 - - 14.232 ms
POST /measurement/schuepbach 201 - - 13.856 ms
POST /measurement/schuepbach 201 - - 13.558 ms
POST /measurement/schuepbach 201 - - 13.940 ms
POST /measurement/schuepbach 201 - - 13.730 ms
POST /measurement/schuepbach 201 - - 15.224 ms
POST /measurement/schuepbach 201 - - 14.465 ms
POST /measurement/schuepbach 201 - - 13.759 ms
POST /measurement/schuepbach 201 - - 14.248 ms
POST /measurement/schuepbach 201 - - 14.452 ms
POST /measurement/schuepbach 201 - - 13.957 ms
POST /measurement/schuepbach 201 - - 13.158 ms
POST /measurement/schuepbach 201 - - 14.864 ms
POST /measurement/schuepbach 201 - - 14.252 ms
POST /measurement/schuepbach 201 - - 15.263 ms
POST /measurement/schuepbach 201 - - 14.220 ms
POST /measurement/schuepbach 201 - - 20.003 ms
POST /measurement/schuepbach 201 - - 14.503 ms
POST /measurement/schuepbach 201 - - 13.955 ms
POST /measurement/schuepbach 201 - - 14.465 ms
POST /measurement/schuepbach 201 - - 14.151 ms
POST /measurement/schuepbach 201 - - 15.686 ms
POST /measurement/schuepbach 201 - - 13.721 ms
POST /measurement/schuepbach 201 - - 14.606 ms
POST /measurement/schuepbach 201 - - 15.888 ms
POST /measurement/schuepbach 201 - - 15.444 ms
POST /measurement/schuepbach 201 - - 14.791 ms
POST /measurement/schuepbach 201 - - 15.381 ms
POST /measurement/schuepbach 201 - - 14.907 ms
POST /measurement/schuepbach 201 - - 15.882 ms
POST /measurement/schuepbach 201 - - 14.115 ms
POST /measurement/schuepbach 201 - - 14.991 ms
POST /measurement/schuepbach 201 - - 14.980 ms
POST /measurement/schuepbach 201 - - 15.657 ms
POST /measurement/schuepbach 201 - - 13.332 ms
POST /measurement/schuepbach 201 - - 95.973 ms
POST /measurement/schuepbach 201 - - 14.680 ms
POST /measurement/schuepbach 201 - - 15.915 ms
POST /measurement/schuepbach 201 - - 15.649 ms
POST /measurement/schuepbach 201 - - 17.465 ms
POST /measurement/schuepbach 201 - - 15.294 ms
POST /measurement/schuepbach 201 - - 16.179 ms
POST /measurement/schuepbach 201 - - 15.211 ms
POST /measurement/schuepbach 201 - - 14.619 ms
POST /measurement/schuepbach 201 - - 15.800 ms
POST /measurement/schuepbach 201 - - 14.613 ms
POST /measurement/schuepbach 201 - - 22.224 ms
POST /measurement/schuepbach 201 - - 15.355 ms
POST /measurement/schuepbach 201 - - 15.552 ms
POST /measurement/schuepbach 201 - - 15.163 ms
POST /measurement/schuepbach 201 - - 13.934 ms
POST /measurement/schuepbach 201 - - 15.305 ms
POST /measurement/schuepbach 201 - - 15.399 ms
POST /measurement/schuepbach 201 - - 19.095 ms
POST /measurement/schuepbach 201 - - 17.170 ms
POST /measurement/schuepbach 201 - - 16.482 ms
POST /measurement/schuepbach 201 - - 14.532 ms
POST /measurement/schuepbach 201 - - 17.755 ms
POST /measurement/schuepbach 201 - - 15.566 ms
POST /measurement/schuepbach 201 - - 20.145 ms
POST /measurement/schuepbach 201 - - 15.892 ms
POST /measurement/schuepbach 201 - - 15.049 ms
POST /measurement/schuepbach 201 - - 15.058 ms
POST /measurement/schuepbach 201 - - 14.500 ms
POST /measurement/schuepbach 201 - - 14.842 ms
POST /measurement/schuepbach 201 - - 14.068 ms
POST /measurement/schuepbach 201 - - 15.252 ms
POST /measurement/schuepbach 201 - - 19.278 ms
POST /measurement/schuepbach 201 - - 14.669 ms
POST /measurement/schuepbach 201 - - 15.714 ms
POST /measurement/schuepbach 201 - - 14.711 ms
POST /measurement/schuepbach 201 - - 16.371 ms
POST /measurement/schuepbach 201 - - 14.225 ms
POST /measurement/schuepbach 201 - - 16.656 ms
POST /measurement/schuepbach 201 - - 18.513 ms
POST /measurement/schuepbach 201 - - 15.110 ms
POST /measurement/schuepbach 201 - - 16.340 ms
POST /measurement/schuepbach 201 - - 16.473 ms
POST /measurement/schuepbach 201 - - 15.029 ms
